kmeans,festivals
0.0,
1.0,"除夕,春節,初二,開工,驚蟄,勞動節,小滿,小暑,大暑,立春,情人節,除夕,春節,初二,穀雨,大暑,父親節,中秋節,教師節,立春,除夕,春節,初二,小暑,小雪,大寒,除夕,春節,初二,開工,端午節"
2.0,夏至
3.0,"大雪,冬至,聖誕節,大雪,冬至,聖誕節,大雪,冬至,聖誕節"
4.0,"芒種,七夕,立秋,父親節,中元節,秋分,寒露,國慶,元宵節,驚蟄,兒童節,清明節,勞動節,立夏,母親節,小滿,芒種,端午節,夏至,小暑,七夕,處暑,中元節,白露,秋分,寒露,元旦,小寒,大寒,開工,情人節,雨水,元宵節,兒童節,清明節,穀雨,勞動節,立夏,母親節,小滿,夏至,大暑,立秋,父親節,七夕,中元節,處暑,白露,中秋節,秋分,寒露,國慶,萬聖節,立冬,元旦,小寒,立春,情人節,雨水,228紀念,春分,清明節,兒童節,穀雨,勞動節,母親節,小滿,芒種"
5.0,"穀雨,母親節,處暑,教師節,小雪,開工,228紀念,春分,國慶,霜降,萬聖節,立冬,小雪,228紀念,驚蟄,春分,教師節,霜降,元宵節,驚蟄"
6.0,
7.0,
8.0,"芒種,端午節"
9.0,小寒
10.0,"元旦,大寒,情人節,雨水,228紀念,春分,兒童節,清明節,立夏,端午節,霜降,萬聖節,立冬,元旦,小寒,大寒,立夏"
11.0,
